seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
50,13,13,2,5091,2104,3795,2447,1940,1378,
47,13,15,2,3703,1538,2345,1067,1999,1652,
38,13,17,2,4232,1510,1930,1422,1216,1476,
9,13,19,2,1753,2280,1925,1203,1227,1629,
14,13,21,2,3023,1190,1605,1789,1373,1726,
5,13,23,2,1385,2229,1274,1174,1331,1511,
59,13,25,2,2752,2571,2278,2768,864,1362,
6,13,27,2,3251,1465,1862,1499,1674,1902,
12,13,29,2,3110,4286,2306,1451,1766,1773,
36,13,31,2,3536,3000,3336,2204,995,1061,
39,14,2,1,5897,9053,5632,5196,3851,1691,
66,14,4,1,5471,6057,2970,2620,2721,2214,
37,14,6,1,2136,3414,2174,1781,2021,1827,
50,14,8,1,6139,2463,2163,3987,2125,3655,
60,14,10,1,2588,6179,4880,2408,1281,2762,208
7,14,12,1,5172,10652,4362,3492,2215,1251,
63,14,14,1,6975,2321,3862,3650,3313,2054,394
35,14,16,1,4828,8365,5327,3463,1052,3739,
53,14,18,1,5591,5728,6452,1875,5421,1464,
23,14,20,1,8937,6851,3913,2749,1015,1305,
29,14,22,1,2280,4320,4328,3742,2226,1958,
36,14,24,1,6603,8813,4765,2296,1017,2367,
30,14,26,1,4645,2450,3950,3334,858,2308,
34,14,28,1,7297,6294,8192,5723,3935,3510,
46,14,30,1,10331,1848,6846,5319,2384,4463,
45,14,32,1,5975,10011,9950,2591,1297,1002,
26,14,1,2,4658,4772,3727,3277,2582,2065,
16,14,3,2,11412,8713,8101,6139,4226,5309,
54,14,5,2,7777,5058,4526,2180,2087,2583,
11,14,7,2,11687,6971,6547,5745,2475,1650,
5,14,9,2,5844,4846,4418,5462,4201,3178,
44,14,11,2,5493,5389,7130,5068,1303,2117,
33,14,13,2,5708,5261,5249,2846,2003,2249,207
48,14,15,2,5874,3197,3898,4070,1770,1940,
59,14,17,2,8358,6383,3493,2638,2651,3387,
51,14,19,2,6553,4547,3114,1546,1416,3767,
15,14,21,2,6124,5395,4636,3450,1766,1555,
55,14,23,2,8422,3975,4265,3360,1225,3716,281
14,14,25,2,3722,5679,1898,2035,1174,1754,
18,14,27,2,4062,4012,7259,3239,2495,2320,
13,14,29,2,8734,5359,5481,2626,2725,1984,
