seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
31,9,11,1,2962,3843,2911,1367,1336,1596,
64,9,13,1,2741,1977,1976,5207,1825,2849,
61,9,15,1,1444,1318,1682,1402,1157,1253,
51,9,17,1,1494,2827,2867,2560,2025,2280,
20,9,19,1,2353,2149,2688,1406,1821,1700,
14,9,21,1,2897,1353,1754,2353,1188,886,95
59,9,23,1,3193,1245,3514,1462,1288,3452,
32,9,25,1,3104,1305,1815,2434,2506,1986,
56,9,27,1,2117,2418,2624,703,3026,2322,
46,9,29,1,2488,2887,3495,1187,2116,1837,
10,9,31,1,1953,3165,2231,1520,1832,2086,
63,9,2,2,3015,2949,2702,3327,2128,2371,
24,9,4,2,4038,2411,3714,2504,2232,2386,114
26,9,6,2,3520,1883,3678,2712,1746,2734,
43,9,8,2,2028,1781,1915,2711,1767,3930,
33,9,10,2,2085,1943,1115,289,2597,3816,
21,9,12,2,3897,7465,2058,2831,1585,1745,
66,9,14,2,2633,1479,1965,1419,2780,1791,221
53,9,16,2,2612,1884,2454,1584,750,1870,
9,9,18,2,3810,3820,3333,3152,1911,1965,
36,9,20,2,3004,1695,3302,2067,1468,3080,
17,9,22,2,2237,2592,1504,3089,2876,2413,
39,9,24,2,3464,1923,1892,1713,1358,3260,
67,9,26,2,4575,3568,1468,1837,3346,2407,
22,9,28,2,4059,1766,2981,3294,3162,2673,
5,9,30,2,3704,2146,2279,2407,2637,4598,
28,9,32,2,1896,2686,3338,2418,983,1287,
35,10,1,1,2379,2137,1696,2647,1611,1694,
30,10,3,1,3354,1465,2505,2084,1063,1740,
21,10,5,1,2885,1692,1626,1578,935,1053,
58,10,7,1,2282,1523,2061,1707,1243,719,
65,10,9,1,1274,2541,1560,1145,1027,1047,
29,10,11,1,3747,2308,1961,1017,1861,3045,
55,10,13,1,2551,1281,1906,2163,1801,768,
61,10,15,1,1668,1480,1694,2140,2200,1084,
64,10,17,1,2211,1679,1788,1002,2583,1481,
14,10,19,1,2899,3350,1945,1860,1676,1789,
49,10,21,1,2039,1552,1526,1480,1341,873,
40,10,23,1,2466,2586,1758,1139,1464,1138,
44,10,25,1,2439,1802,2623,2371,1215,1274,
53,10,27,1,2778,1861,2233,1298,1597,1644,
5,10,29,1,2798,2403,2144,1748,2039,1684,
6,10,31,1,3696,5571,3029,1495,1792,1492,
45,10,2,2,2724,1979,1646,2320,2165,1717,
33,10,4,2,3071,4614,1439,1834,1594,1729,
50,10,6,2,1888,1848,2783,2261,1316,1438,
47,10,8,2,1230,2212,2287,1441,1598,1363,
8,10,10,2,1648,2667,1475,1165,1738,1536,
39,10,12,2,1547,2740,1502,2105,1841,1039,
17,10,14,2,3485,1825,4216,2468,2260,2281,
57,10,16,2,2322,2629,2360,1602,1303,813,
32,10,18,2,1550,2126,2783,1536,1228,2165,
12,10,20,2,4909,3017,1925,2956,805,1107,
25,10,22,2,1663,1418,1753,997,2331,960,
26,10,24,2,2381,1359,1267,1588,1390,1203,
54,10,26,2,1679,2204,2042,1329,1650,1217,
60,10,28,2,2340,2073,2387,2774,1125,2038,
52,10,30,2,2295,1944,1349,1948,1502,2532,
23,10,32,2,2075,2283,1688,1636,1109,1254,
10,11,1,1,3495,1780,1198,1047,1546,1175,
57,11,3,1,1820,1098,832,817,481,1526,
46,11,5,1,1206,1070,866,775,775,747,
17,11,7,1,1661,1543,1899,1309,986,993,
29,11,9,1,941,1463,1158,1598,2180,1485,
24,11,11,1,1803,1780,1837,650,1623,1043,
51,11,13,1,1781,939,1121,780,2020,978,
34,11,15,1,948,1334,1028,838,854,764,
20,11,17,1,2584,2535,2222,989,1036,937,
21,11,19,1,1332,2422,1433,754,1088,1267,
32,11,21,1,1405,813,1984,988,1572,707,
54,11,23,1,1724,857,1020,1189,819,966,
39,11,25,1,1787,1941,1181,935,795,949,
50,11,27,1,1088,900,688,664,1382,952,
40,11,29,1,2980,1168,1332,1160,1358,731,
53,11,31,1,1685,2048,2167,1324,730,727,
22,11,2,2,1786,2625,2818,3547,1158,634,
61,11,4,2,900,2804,1733,1263,1593,1542,
64,11,6,2,1370,736,2113,684,1164,641,
6,11,8,2,1739,2247,831,1603,1723,1983,
44,11,10,2,952,1764,1309,1185,1020,676,
26,11,12,2,1050,1257,1173,1446,1114,876,
52,11,14,2,1300,698,1697,1965,744,499,
33,11,16,2,1500,1158,1951,1497,1567,968,
12,11,18,2,1372,1778,3465,2431,1401,1634,
67,11,20,2,1653,1675,2406,1864,1375,716,
13,11,22,2,1428,1531,1096,1065,1470,744,
25,11,24,2,1829,1977,1586,1784,1294,1112,
55,11,26,2,651,690,949,1314,1642,883,
48,11,28,2,2172,1071,2607,1182,1386,1523,
31,11,30,2,3377,1958,1470,908,1230,669,
35,11,32,2,754,1551,1735,1283,1166,449,
5,12,1,1,3873,2390,1169,1315,2199,1254,
55,12,3,1,1493,1118,1056,1244,811,1148,
31,12,5,1,2859,2696,2764,1018,967,1185,
17,12,7,1,2333,1220,1525,1287,1919,1454,
23,12,9,1,1257,1620,908,983,1371,1770,
67,12,11,1,2280,3085,1799,1248,766,1175,
15,12,13,1,2842,950,1771,2664,3324,812,
26,12,15,1,2128,1399,1162,1948,2404,1978,
48,12,17,1,3083,3252,2582,1018,899,1104,
66,12,19,1,1942,1835,1213,913,1359,1693,
58,12,21,1,2652,822,1392,641,860,942,
57,12,23,1,1488,975,1808,915,705,1035,
14,12,25,1,2613,2087,1264,1138,1253,2252,
30,12,27,1,4000,2474,2370,994,1960,1715,
9,12,29,1,3283,2242,2674,2977,2310,837,
49,12,31,1,1431,1805,2018,1172,945,1122,
46,12,2,2,2042,3314,1377,1122,1320,1420,
34,12,4,2,1192,1986,1343,1372,1318,1573,
61,12,6,2,2180,1147,1234,3038,833,1413,
38,12,8,2,2891,1216,894,926,939,1533,
12,12,10,2,2047,1153,1644,1120,1611,1927,
11,12,12,2,1257,1713,1272,1900,2839,614,
41,12,14,2,1771,2002,2094,554,1819,2630,
33,12,16,2,2378,2368,2236,1232,1550,860,
42,12,18,2,1192,2386,1339,1836,774,1293,
22,12,20,2,3095,1917,1380,1038,1102,1103,
8,12,22,2,2502,3010,2883,2048,989,1550,
21,12,24,2,1953,1166,1647,1161,1927,1894,
19,12,26,2,3725,3045,1813,1431,1676,797,
10,12,28,2,2282,2613,1716,1686,2463,2286,
63,12,30,2,2822,1636,1760,2948,901,1123,
45,12,32,2,2605,3218,2347,1567,1028,832,
27,13,1,1,1898,2174,1414,1716,1439,1532,
58,13,3,1,2722,2211,1831,2844,1886,2907,
10,13,5,1,2918,2784,2276,1003,2376,1224,
41,13,7,1,1916,1454,2050,1460,1356,1588,
21,13,9,1,1852,3283,2438,1193,1386,1728,
7,13,11,1,1734,2315,1854,1276,1123,2155,
54,13,13,1,5563,3197,3418,2401,3340,1454,
30,13,15,1,1440,1212,1561,2058,1803,1412,
20,13,17,1,3607,4114,2625,1387,1117,1714,
38,13,19,1,6048,2201,2326,1381,1666,2333,
50,13,21,1,2009,1904,2330,2660,2011,1497,
45,13,23,1,3869,4397,1660,2068,1614,1710,
65,13,25,1,2434,1956,3276,1504,1187,1368,
60,13,27,1,1915,1786,2067,1850,1585,2579,
48,13,29,1,2035,2098,2098,1440,1914,1255,
42,13,31,1,2251,1891,2026,2428,1644,1933,
44,13,2,2,2392,4233,5121,4180,3702,1239,
52,13,4,2,1991,2762,2130,3212,2162,1393,
14,13,6,2,3713,3159,1770,1528,1003,1641,
12,13,8,2,2931,2238,1267,1634,1692,3922,
56,13,10,2,1377,1650,1374,1624,1378,1508,
8,13,12,2,2057,2952,2003,2232,659,1613,
15,13,14,2,2302,1604,2142,2643,1513,862,
28,13,16,2,2282,2404,2443,2015,1062,1176,
47,13,18,2,2427,2406,1369,1326,1337,1525,
66,13,20,2,2041,1895,2664,2841,1251,1921,
32,13,22,2,2304,1563,1912,1282,2130,1479,
49,13,24,2,2786,1929,1993,1147,949,2167,
23,13,26,2,2740,1457,1556,1747,2741,1567,
33,13,28,2,2085,1449,1793,1484,1367,2589,
37,13,30,2,3648,2465,2160,1842,1368,1853,
17,13,32,2,1662,1784,1733,1424,1601,919,
22,14,1,1,1378,1710,1920,749,1321,1480,
57,14,3,1,2455,1757,1035,1048,679,1346,
44,14,5,1,4186,2262,1102,993,644,927,
24,14,7,1,3138,1442,1725,1426,742,1256,
5,14,9,1,1606,1576,1372,1380,1505,1579,
32,14,11,1,1534,1229,1543,501,906,1608,
49,14,13,1,1891,1176,1640,1010,2235,860,
17,14,15,1,1127,1837,962,1232,1456,1500,
26,14,17,1,1275,1108,1054,954,2356,1681,
12,14,19,1,2544,1854,2943,1245,1391,1791,
61,14,21,1,1752,883,1492,1423,1137,1118,
67,14,23,1,3918,1666,1691,1137,867,1431,
52,14,25,1,944,954,857,972,762,2228,
60,14,27,1,2322,868,2741,1882,647,2064,
54,14,29,1,2626,2824,1536,1094,1234,2462,
36,14,31,1,1686,2335,2263,819,1145,1363,
8,14,2,2,2861,2997,3212,1666,1437,921,
13,14,4,2,3133,1800,1539,1309,799,1254,
18,14,6,2,1338,1141,1381,633,970,1291,
39,14,8,2,963,1085,760,788,1292,1675,
15,14,10,2,2225,2548,1426,1154,1460,1055,
46,14,12,2,1871,1692,1412,1471,1379,471,
65,14,14,2,721,886,1208,1725,992,2378,
43,14,16,2,1191,1135,2308,1182,1150,1105,
41,14,18,2,1191,1742,1237,1165,939,1359,
53,14,20,2,1354,1755,2377,1337,1026,1613,
66,14,22,2,3011,2202,1705,1399,2206,1246,
55,14,24,2,1442,712,1415,899,563,1605,
28,14,26,2,1471,1212,1918,1587,1376,2658,
10,14,28,2,2516,2313,2216,1491,1476,1621,
20,14,30,2,1690,2674,1696,1646,1629,2364,
21,14,32,2,1799,3194,1538,2283,1514,672,
63,15,1,1,1272,1414,732,1140,874,1187,
41,15,3,1,1403,825,849,870,809,877,
39,15,5,1,1081,653,524,802,741,784,
5,15,7,1,1727,889,841,898,1104,1892,
59,15,9,1,1196,1150,1011,885,897,831,
65,15,11,1,1449,2265,2356,1167,968,1276,
30,15,13,1,1238,673,1374,619,973,1041,
43,15,15,1,796,736,792,863,724,953,
8,15,17,1,1279,1181,1320,1039,1015,1709,
27,15,19,1,1228,1350,1020,1015,1000,1537,
17,15,21,1,1369,1010,870,1333,864,871,
22,15,23,1,1157,946,1000,982,744,690,
12,15,25,1,2270,1693,1490,1615,1089,960,
9,15,27,1,1409,1279,1116,1773,2084,1710,
19,15,29,1,1862,1182,1932,1184,1271,983,
