seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
53,9,16,2,0,0,1,0,,1,
9,9,18,2,0,1,1,1,0,1,
36,9,20,2,0,,1,,,1,
17,9,22,2,0,0,0,1,1,0,
39,9,24,2,0,0,0,1,1,,
67,9,26,2,0,0,,1,0,1,
22,9,28,2,0,0,0,1,0,1,
5,9,30,2,0,0,0,0,0,0,
28,9,32,2,0,0,0,0,,1,
35,10,1,1,0,0,0,0,,1,
30,10,3,1,0,0,0,1,,1,
21,10,5,1,0,0,0,0,0,0,
58,10,7,1,0,0,0,0,0,0,
65,10,9,1,0,0,0,0,,1,
29,10,11,1,0,0,0,0,,1,
55,10,13,1,0,0,0,0,0,0,
61,10,15,1,0,0,1,0,0,0,
64,10,17,1,0,0,0,0,0,1,
14,10,19,1,0,1,0,0,0,0,
49,10,21,1,0,0,0,0,0,1,
40,10,23,1,0,0,0,0,0,0,
44,10,25,1,0,0,0,0,0,0,
53,10,27,1,0,0,1,0,0,1,
5,10,29,1,0,0,1,0,1,0,
6,10,31,1,0,0,1,0,0,0,
45,10,2,2,0,0,0,0,0,0,
33,10,4,2,0,0,1,0,0,0,
50,10,6,2,0,0,0,1,0,0,
47,10,8,2,0,0,0,0,0,0,
8,10,10,2,,1,0,0,0,0,
39,10,12,2,0,0,0,0,0,1,
17,10,14,2,0,0,0,0,0,1,
57,10,16,2,0,0,0,0,0,0,
32,10,18,2,0,0,0,0,0,0,
12,10,20,2,0,1,0,0,0,0,
25,10,22,2,0,0,0,0,0,0,
26,10,24,2,0,0,0,0,0,1,
54,10,26,2,0,0,0,1,0,1,
60,10,28,2,0,0,0,1,0,0,
52,10,30,2,0,0,0,0,0,0,
23,10,32,2,0,0,0,0,0,0,
10,11,1,1,0,0,1,0,,1,
57,11,3,1,0,0,0,0,1,0,
46,11,5,1,0,0,1,0,0,1,
17,11,7,1,0,1,0,0,1,1,
29,11,9,1,0,0,0,0,0,1,
24,11,11,1,0,0,0,0,,1,
51,11,13,1,0,1,0,0,0,1,
34,11,15,1,0,0,0,1,0,0,
20,11,17,1,0,0,1,0,0,1,
21,11,19,1,0,0,0,0,0,0,
32,11,21,1,0,0,0,0,1,1,
54,11,23,1,0,0,0,0,0,0,
39,11,25,1,0,0,0,0,0,1,
50,11,27,1,0,0,0,0,0,1,
40,11,29,1,0,0,1,0,1,1,
53,11,31,1,0,0,0,0,1,1,
22,11,2,2,0,0,0,0,1,1,
61,11,4,2,0,0,0,0,1,1,
64,11,6,2,0,0,0,0,0,1,
6,11,8,2,0,0,0,0,0,1,
44,11,10,2,0,0,0,0,1,1,
26,11,12,2,0,0,0,1,0,1,
52,11,14,2,0,0,0,1,0,1,
33,11,16,2,0,0,1,0,1,1,
12,11,18,2,0,1,0,1,0,1,
67,11,20,2,0,0,0,0,0,1,
13,11,22,2,0,0,1,0,0,1,
25,11,24,2,0,0,0,0,,1,
55,11,26,2,0,0,0,0,0,1,
48,11,28,2,0,0,0,0,1,1,
31,11,30,2,0,0,1,0,0,0,
35,11,32,2,0,0,1,1,0,1,
5,12,1,1,0,0,1,0,,1,
55,12,3,1,0,0,0,0,0,0,
31,12,5,1,0,0,0,0,1,1,
17,12,7,1,0,1,1,1,0,1,
23,12,9,1,0,1,0,0,0,1,
67,12,11,1,0,1,1,0,,1,
15,12,13,1,0,1,0,0,,1,
26,12,15,1,0,0,0,0,0,1,
48,12,17,1,0,0,0,0,0,1,
66,12,19,1,0,0,0,0,0,0,
58,12,21,1,0,0,0,1,0,0,
57,12,23,1,0,0,0,0,0,1,
14,12,25,1,0,1,1,0,,1,
30,12,27,1,0,0,0,0,0,1,
9,12,29,1,0,0,0,0,1,1,
49,12,31,1,0,0,0,1,0,1,
46,12,2,2,0,0,0,0,0,1,
34,12,4,2,0,0,0,0,0,1,
61,12,6,2,0,1,1,0,1,1,
38,12,8,2,0,0,0,0,0,1,
12,12,10,2,0,0,0,0,0,1,
11,12,12,2,0,0,0,0,,1,
41,12,14,2,0,0,1,0,1,1,
33,12,16,2,0,0,0,0,0,1,
42,12,18,2,0,0,0,0,0,1,
22,12,20,2,0,1,0,0,0,1,
8,12,22,2,0,0,1,1,0,0,
21,12,24,2,0,0,0,0,,1,
19,12,26,2,0,1,1,0,0,0,
10,12,28,2,0,0,0,1,0,1,
63,12,30,2,0,0,0,0,0,1,
45,12,32,2,0,1,1,0,0,1,
27,13,1,1,0,0,0,0,,1,
58,13,3,1,0,0,0,0,,1,
10,13,5,1,0,1,1,1,0,1,
41,13,7,1,0,0,0,1,0,0,
21,13,9,1,0,0,0,0,0,1,
7,13,11,1,0,0,1,0,1,1,
