seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
36,15,15,2,1088,1155,1294,831,447,2174,
24,15,17,2,,2569,1285,2947,1309,1367,
15,15,19,2,1814,170,2410,1012,1202,2767,
17,15,21,2,1859,901,1392,1217,,85,
33,15,23,2,1927,1926,1152,3732,1368,2041,
10,15,25,2,1782,2281,1613,2620,994,2344,
45,15,27,2,2758,1535,1531,264,440,1037,
40,15,29,2,3358,,106,2091,1786,1898,
34,15,31,2,1284,1920,2151,1281,1262,1756,
21,16,2,1,491,2059,1606,815,1137,,
55,16,4,1,2287,436,125,186,252,207,
46,16,6,1,2456,1351,746,1209,310,124,
20,16,8,1,592,2658,522,823,1083,510,
54,16,10,1,479,196,286,183,667,185,
45,16,12,1,1375,1347,710,268,,,
15,16,14,1,777,213,212,124,1868,1046,301
12,16,16,1,2029,3180,1992,,140,,491
40,16,18,1,1751,539,320,209,131,2392,
63,16,20,1,403,1191,933,1651,,151,
37,16,22,1,862,778,738,208,482,1724,
59,16,24,1,565,1452,183,235,,397,
47,16,26,1,1502,299,1199,1334,2024,1618,
43,16,28,1,583,161,362,317,742,345,
18,16,30,1,2268,498,341,1980,388,172,
39,16,32,1,486,286,533,1560,131,982,615
35,16,1,2,465,159,1288,2332,173,,
14,16,3,2,2638,1756,835,684,1239,265,
10,16,5,2,2931,1563,1662,1374,1852,1405,
29,16,7,2,1277,532,474,1423,254,295,
50,16,9,2,431,210,314,778,171,281,
57,16,11,2,871,1300,355,309,222,217,
66,16,13,2,778,629,552,184,,313,
25,16,15,2,239,1963,173,562,862,,155
41,16,17,2,592,277,314,869,489,248,
7,16,19,2,2262,1790,1541,1127,1234,3456,
51,16,21,2,1939,190,208,1013,267,2420,
13,16,23,2,1987,1644,1752,1184,855,582,404
61,16,25,2,1773,915,2367,1805,,225,
9,16,27,2,2396,1504,2285,2115,202,540,
17,16,29,2,2987,1287,678,390,122,617,160
60,16,31,2,2049,1448,645,2272,1561,1650,
36,17,2,1,2013,2842,2207,1202,,782,
63,17,4,1,1974,377,187,1547,179,114,
62,17,6,1,1689,2587,1229,1551,1273,200,
25,17,8,1,2810,1864,1318,422,296,105,
56,17,10,1,1600,1179,784,916,1294,1068,
18,17,12,1,953,3426,296,860,126,183,
13,17,14,1,1666,1429,1205,874,109,1291,
11,17,16,1,1768,1946,2141,1432,886,1364,
53,17,18,1,3664,2154,2117,475,667,1143,
45,17,20,1,3180,1288,162,891,,235,
14,17,22,1,1445,1601,1898,2726,1979,1860,
7,17,24,1,2244,,236,1410,,145,
35,17,26,1,1538,1717,1993,487,731,156,
8,17,28,1,2313,1922,2045,223,,122,
19,17,30,1,2503,1767,1801,1537,1158,1343,
16,17,32,1,1552,1566,1960,1127,866,272,
22,17,1,2,2082,2860,1278,1401,,247,
23,17,3,2,3138,1458,1194,1324,,144,
37,17,5,2,3960,1680,1940,1710,1082,253,
55,17,7,2,2617,819,161,2212,1045,1152,
43,17,9,2,1720,2273,1672,751,179,895,
5,17,11,2,3001,1911,336,145,189,159,
50,17,13,2,1825,,203,1665,,171,
39,17,15,2,1715,1174,217,173,211,173,
41,17,17,2,1989,2040,1944,2008,1701,1685,
54,17,19,2,2732,2379,2297,1530,1150,1589,
34,17,21,2,1945,750,201,612,522,1366,
60,17,23,2,1512,808,1838,1062,324,1206,
12,17,25,2,2076,2142,1544,181,,323,
32,17,27,2,2266,1330,2560,250,178,147,
6,17,29,2,3208,1828,291,1230,2075,1266,
15,17,31,2,1899,1534,2238,1845,1599,1475,
48,18,2,1,1814,2309,575,882,623,916,
66,18,4,1,1457,1609,2112,716,880,1094,
22,18,6,1,1229,647,878,1714,906,1112,
15,18,8,1,1768,1490,1018,532,1129,1785,
26,18,10,1,1122,2355,1820,936,629,224,
41,18,12,1,2928,1141,1107,673,810,1621,
5,18,14,1,1276,1166,817,889,926,572,
59,18,16,1,1304,1247,1504,516,272,442,
25,18,18,1,1296,2426,350,1028,602,924,
52,18,20,1,1573,1138,1237,701,666,974,
36,18,22,1,1206,1415,897,1028,821,746,
37,18,24,1,1438,719,629,692,,170,
12,18,26,1,1883,2061,1701,574,709,640,
57,18,28,1,1939,748,2542,2431,1491,1325,
17,18,30,1,3083,1035,1352,670,898,778,
51,18,32,1,1468,1031,788,804,291,477,
13,18,1,2,4554,1214,587,1140,1074,872,
33,18,3,2,1773,766,876,2047,753,974,
60,18,5,2,953,1039,861,637,426,189,
55,18,7,2,1738,2061,1165,720,646,706,
30,18,9,2,998,1906,925,804,,122,
63,18,11,2,2037,1051,154,531,173,116,
24,18,13,2,1077,3102,1407,891,2329,1019,
50,18,15,2,1277,2946,835,144,896,615,
21,18,17,2,1406,1898,775,991,1183,926,
10,18,19,2,1727,1902,1707,477,1316,1131,
45,18,21,2,1333,583,470,766,1275,722,
32,18,23,2,1369,1375,2510,1695,710,575,
54,18,25,2,1948,1166,2013,575,637,1076,
18,18,27,2,2073,1242,192,163,369,167,
42,18,29,2,1674,1088,1251,751,573,844,
